PROLIFIC_PID,Validity,Condition,Freq,RT
5638e8a444e8c8000ee86a35,invalid,S1-R Transfer,19,NA
5638e8a444e8c8000ee86a35,Valid,S1-R Transfer,13,1058.5769231135969
56a8bb427f2472000b9522f6,invalid,S1-R Transfer,16,NA
56a8bb427f2472000b9522f6,Valid,S1-R Transfer,16,694.6874999925399
580decae240a2d0001e6bab3,invalid,S1-R Transfer,18,NA
580decae240a2d0001e6bab3,Valid,S1-R Transfer,14,1160.264285714496
59e1e3a23e4b5a00016a9c17,invalid,S1-R Transfer,6,NA
59e1e3a23e4b5a00016a9c17,Valid,S1-R Transfer,26,791.2884615522252
5aeb063b2f05b500013028a0,invalid,S1-R Transfer,10,NA
5aeb063b2f05b500013028a0,Valid,S1-R Transfer,22,645.7727272618957
5b2870cf7f78160001465bf9,invalid,S1-R Transfer,16,NA
5b2870cf7f78160001465bf9,Valid,S1-R Transfer,16,702.1375000001982
5b985404a15058000124e508,invalid,S1-R Transfer,9,NA
5b985404a15058000124e508,Valid,S1-R Transfer,23,755.7391304347803
5bc9e924e642db0001d3a1c5,invalid,S1-R Transfer,10,NA
5bc9e924e642db0001d3a1c5,Valid,S1-R Transfer,22,664.5909090909237
5c1942e200849900010afdcd,invalid,S1-R Transfer,15,NA
5c1942e200849900010afdcd,Valid,S1-R Transfer,17,550.0235294103758
5c4d1a6c9ce35100019dbc88,invalid,S1-R Transfer,18,NA
5c4d1a6c9ce35100019dbc88,Valid,S1-R Transfer,14,610.1428571433871
5cfc7489e289a80016b6e29f,invalid,S1-R Transfer,20,NA
5cfc7489e289a80016b6e29f,Valid,S1-R Transfer,12,445.2833333333596
5d35989e71b4880017d5cc81,invalid,S1-R Transfer,18,NA
5d35989e71b4880017d5cc81,Valid,S1-R Transfer,14,559.7500000021276
5da6139c002c29001335b5a2,invalid,S1-R Transfer,24,NA
5da6139c002c29001335b5a2,Valid,S1-R Transfer,8,1210.8874999582042
5de7ccc24b7cf973d7b05bfb,invalid,S1-R Transfer,17,NA
5de7ccc24b7cf973d7b05bfb,Valid,S1-R Transfer,15,1134.619999999821
5e7f514bb18cb4000a68310d,invalid,S1-R Transfer,17,NA
5e7f514bb18cb4000a68310d,Valid,S1-R Transfer,15,724.3399999976115
5e8b89d0afcb1606e761ef7f,invalid,S1-R Transfer,14,NA
5e8b89d0afcb1606e761ef7f,Valid,S1-R Transfer,18,947.0000000066598
5e92178e8ee4fe54b65b7c39,invalid,S1-R Transfer,16,NA
5e92178e8ee4fe54b65b7c39,Valid,S1-R Transfer,16,762.1499999910739
5eebb8b7011d13119025dcf0,invalid,S1-R Transfer,29,NA
5eebb8b7011d13119025dcf0,Valid,S1-R Transfer,3,761.6333333452303
5ef1f7026343e20b931a0cb0,invalid,S1-R Transfer,13,NA
5ef1f7026343e20b931a0cb0,Valid,S1-R Transfer,19,927.0526315789551
5f00fa2353b5c10c934298fa,invalid,S1-R Transfer,23,NA
5f00fa2353b5c10c934298fa,Valid,S1-R Transfer,9,1084.4888888877904
5f19e162d258ca0921678a36,invalid,S1-R Transfer,18,NA
5f19e162d258ca0921678a36,Valid,S1-R Transfer,14,1135.857142857138
5f25e860dd98342ce97e7403,invalid,S1-R Transfer,6,NA
5f25e860dd98342ce97e7403,Valid,S1-R Transfer,26,630.4769230794486
5f50732850c7c600098593df,invalid,S1-R Transfer,32,NA
5f50732850c7c600098593df,Valid,S1-R Transfer,0,NA
5f588fb87204220009eb684f,invalid,S1-R Transfer,14,NA
5f588fb87204220009eb684f,Valid,S1-R Transfer,18,756.0944444440768
5f5b2bd1b2430a23a9674a55,invalid,S1-R Transfer,15,NA
5f5b2bd1b2430a23a9674a55,Valid,S1-R Transfer,17,837.1882352938521
5f5f5013f947f6000bd8ddcb,invalid,S1-R Transfer,28,NA
5f5f5013f947f6000bd8ddcb,Valid,S1-R Transfer,4,690.8750000148984
5f6e36c7f042f033d0f97bc1,invalid,S1-R Transfer,15,NA
5f6e36c7f042f033d0f97bc1,Valid,S1-R Transfer,17,1047.5235293998621
5fa3dc74fefcb501f909c68a,invalid,S1-R Transfer,13,NA
5fa3dc74fefcb501f909c68a,Valid,S1-R Transfer,19,963.0526315758061
5ff792bdc0091e494e352e9b,invalid,S1-R Transfer,9,NA
5ff792bdc0091e494e352e9b,Valid,S1-R Transfer,23,848.1434782626831
600de3bf29e45455345fa8b5,invalid,S1-R Transfer,0,NA
600de3bf29e45455345fa8b5,Valid,S1-R Transfer,32,732.95312500003
6034e8e3628ecdf282096ccf,invalid,S1-R Transfer,16,NA
6034e8e3628ecdf282096ccf,Valid,S1-R Transfer,16,1305.1249999999754
60603496c9a3d83273a11297,invalid,S1-R Transfer,15,NA
60603496c9a3d83273a11297,Valid,S1-R Transfer,17,1061.2117647072691
6066d08253019ea549b1dd37,invalid,S1-R Transfer,16,NA
6066d08253019ea549b1dd37,Valid,S1-R Transfer,16,625.9437499996138
6085a4cc5f5f9ba1a3bfd785,invalid,S1-R Transfer,17,NA
6085a4cc5f5f9ba1a3bfd785,Valid,S1-R Transfer,15,727.0999999920529
6088e7b7d327c199db58cf61,invalid,S1-R Transfer,20,NA
6088e7b7d327c199db58cf61,Valid,S1-R Transfer,12,906.3500000437064
60967660853e8fcaf410748b,invalid,S1-R Transfer,17,NA
60967660853e8fcaf410748b,Valid,S1-R Transfer,15,900.1133333325015
60a97537bf4b23dbaba42403,invalid,S1-R Transfer,15,NA
60a97537bf4b23dbaba42403,Valid,S1-R Transfer,17,880.9235294119563
60abbbce67335394c314a00a,invalid,S1-R Transfer,16,NA
60abbbce67335394c314a00a,Valid,S1-R Transfer,16,870.3499999996253
60b3950b9a1de417d37bb8d2,invalid,S1-R Transfer,20,NA
60b3950b9a1de417d37bb8d2,Valid,S1-R Transfer,12,680.8000000007723
60b91383e5e9ab787f581f7c,invalid,S1-R Transfer,13,NA
60b91383e5e9ab787f581f7c,Valid,S1-R Transfer,19,538.7631579072771
60cb63abf6f1053d9577e1fe,invalid,S1-R Transfer,15,NA
60cb63abf6f1053d9577e1fe,Valid,S1-R Transfer,17,678.4882352983325
60d432ce6e413e7509dd4b78,invalid,S1-R Transfer,24,NA
60d432ce6e413e7509dd4b78,Valid,S1-R Transfer,8,683.6249999999922
60dbd1a6bb3d411213cef6bc,invalid,S1-R Transfer,18,NA
60dbd1a6bb3d411213cef6bc,Valid,S1-R Transfer,14,757.6428571427251
60df713d7718de2a4065b80b,invalid,S1-R Transfer,14,NA
60df713d7718de2a4065b80b,Valid,S1-R Transfer,18,1043.7388888796274
60f91d62ce12ac59792a3f6e,invalid,S1-R Transfer,10,NA
60f91d62ce12ac59792a3f6e,Valid,S1-R Transfer,22,890.9045454372052
60fcebba7345a976efc9c080,invalid,S1-R Transfer,15,NA
60fcebba7345a976efc9c080,Valid,S1-R Transfer,17,999.7352941176399
60fd080d5476f4a77211bafb,invalid,S1-R Transfer,16,NA
60fd080d5476f4a77211bafb,Valid,S1-R Transfer,16,912.1875000074482
60fd7f782b0c5f0b6503302a,invalid,S1-R Transfer,14,NA
60fd7f782b0c5f0b6503302a,Valid,S1-R Transfer,18,767.7444444431355
60fdaf5b539bcc4d2724d6a4,invalid,S1-R Transfer,13,NA
60fdaf5b539bcc4d2724d6a4,Valid,S1-R Transfer,19,851.3368420977462
60fdb83606ba18b3b54215fa,invalid,S1-R Transfer,11,NA
60fdb83606ba18b3b54215fa,Valid,S1-R Transfer,21,538.8095238095156
6102dacce29b57b1e268c13a,invalid,S1-R Transfer,24,NA
6102dacce29b57b1e268c13a,Valid,S1-R Transfer,8,576.3499999940507
610826a7604223dea33406f1,invalid,S1-R Transfer,7,NA
610826a7604223dea33406f1,Valid,S1-R Transfer,25,645.0440000152594
6108ac1e801e23ad2a25e7f0,invalid,S1-R Transfer,23,NA
6108ac1e801e23ad2a25e7f0,Valid,S1-R Transfer,9,819.8888888624147
6111234ac8cfa49e38acbfb4,invalid,S1-R Transfer,5,NA
6111234ac8cfa49e38acbfb4,Valid,S1-R Transfer,27,760.1148148152653
6114681d3dcdb4a295eec181,invalid,S1-R Transfer,17,NA
6114681d3dcdb4a295eec181,Valid,S1-R Transfer,15,1070.8933333396847
611645b93f0840eae41426f5,invalid,S1-R Transfer,14,NA
611645b93f0840eae41426f5,Valid,S1-R Transfer,18,851.3611111127691
611ff6cc935b6de3fff0b896,invalid,S1-R Transfer,16,NA
611ff6cc935b6de3fff0b896,Valid,S1-R Transfer,16,748.0124999992412
61436bd26638b05527a135cb,invalid,S1-R Transfer,16,NA
61436bd26638b05527a135cb,Valid,S1-R Transfer,16,610.5812499970185
6147724c13bb365774e24af1,invalid,S1-R Transfer,17,NA
6147724c13bb365774e24af1,Valid,S1-R Transfer,15,708.3000000010012
6165ab1d62dc48b90438ea1d,invalid,S1-R Transfer,18,NA
6165ab1d62dc48b90438ea1d,Valid,S1-R Transfer,14,538.1428571428728
616fe12dc33a81b79f5d958a,invalid,S1-R Transfer,16,NA
616fe12dc33a81b79f5d958a,Valid,S1-R Transfer,16,550.5249999994462
61f2ad60a09e72f23cbaf86d,invalid,S1-R Transfer,21,NA
61f2ad60a09e72f23cbaf86d,Valid,S1-R Transfer,11,679.4818181612279
622b64053557c445641d767a,invalid,S1-R Transfer,23,NA
622b64053557c445641d767a,Valid,S1-R Transfer,9,706.0666666660104
627e807715abf2361938fd68,invalid,S1-R Transfer,23,NA
627e807715abf2361938fd68,Valid,S1-R Transfer,9,707.9222222301571
6286672d0165aad8f1386c27,invalid,S1-R Transfer,16,NA
6286672d0165aad8f1386c27,Valid,S1-R Transfer,16,506.07500000017325
628bbdac4ba783931f487fd8,invalid,S1-R Transfer,4,NA
628bbdac4ba783931f487fd8,Valid,S1-R Transfer,28,888.8392857142833
628fc75b2561940f60f57b37,invalid,S1-R Transfer,17,NA
628fc75b2561940f60f57b37,Valid,S1-R Transfer,15,1037.4799999952452
629082739390703f993b12bd,invalid,S1-R Transfer,15,NA
629082739390703f993b12bd,Valid,S1-R Transfer,17,810.9176470611133
6294c3c360a62ab4c18a4ffd,invalid,S1-R Transfer,16,NA
6294c3c360a62ab4c18a4ffd,Valid,S1-R Transfer,16,835.4875000119222
629552d66a0ad893867fa675,invalid,S1-R Transfer,10,NA
629552d66a0ad893867fa675,Valid,S1-R Transfer,22,681.6363636309627
62964243018e89ba8d83384b,invalid,S1-R Transfer,7,NA
62964243018e89ba8d83384b,Valid,S1-R Transfer,25,667.3439999997618
